Name,Type,Product,Activity,Database
SNG_EXP_EH_COGEN,Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical","image, remind, message, tiam-ucl"
SNG_EXP_EH_COGEN,Operation,"natural gas, high pressure","market for natural gas, high pressure","image, remind, message, tiam-ucl"
SNG_EXP_HM,Operation,"natural gas, high pressure","market for natural gas, high pressure","image, remind, message, tiam-ucl"
SNG_EXP_HM_COGEN,Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical","image, remind, message, tiam-ucl"
SNG_EXP_HM_COGEN,Operation,"natural gas, high pressure","market for natural gas, high pressure","image, remind, message, tiam-ucl"
SNG_EXP_ML,Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade","image, remind, message, tiam-ucl"
SNG_EXP_ML_COGEN,Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical","image, remind, message, tiam-ucl"
SNG_EXP_ML_COGEN,Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade","image, remind, message, tiam-ucl"
SNG_PYROLYSIS_PLASMA,Operation,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis","image, remind, message, tiam-ucl"
SNG_PYROLYSIS_PLASMA,Construction,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW","image, remind, message, tiam-ucl"
SNG_PYROLYSIS_THERMAL,Construction,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW","image, remind, message, tiam-ucl"
SNG_PYROLYSIS_THERMAL,Operation,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis","image, remind, message, tiam-ucl"
SNG_REFORMING,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming","image, remind, message, tiam-ucl"
SNG_REFORMING_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
SNG_REFORMING_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics","image, remind, message, tiam-ucl"
SNG_STO,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics","image, remind, message, tiam-ucl"
SOEC_ELECTROLYSIS,Operation,"hydrogen, gaseous, 1 bar","hydrogen production, gaseous, 1 bar, from SOEC electrolysis, from grid electricity","image, remind, message, tiam-ucl"
SOEC_ELECTROLYSIS_PLANT,Construction,"electrolyzer, 1MWe, SOEC, Balance of Plant","electrolyzer production, 1MWe, SOEC, Balance of Plant","image, remind, message, tiam-ucl"
SOEC_ELECTROLYSIS_PLANT_DECOM,Construction,"used electrolyzer balance of plant, 1MWe, SOEC","treatment of electrolyzer balance of plant, 1MWe, SOEC","image, remind, message, tiam-ucl"
SOEC_ELECTROLYSIS_STACK,Construction,"electrolyzer, 1MWe, SOEC, Stack","electrolyzer production, 1MWe, SOEC, Stack","image, remind, message, tiam-ucl"
SOEC_ELECTROLYSIS_STACK_DECOM,Construction,"used electrolyzer stack, 1MWe, SOEC","treatment of electrolyzer stack, 1MWe, SOEC","image, remind, message, tiam-ucl"
SOFC,Construction,"fuel cell, stack solid oxide, 125kW electrical, future","fuel cell production, stack solid oxide, 125kW electrical, future","image, remind, message, tiam-ucl"
SOFC,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid","image, remind, message, tiam-ucl"
STEEL,Flow,"steel, chromium steel 18/8","market for steel, chromium steel 18/8","image, remind, message, tiam-ucl"
STEEL_MAKING,Operation,"steel, chromium steel 18/8","market for steel, chromium steel 18/8","image, remind, message, tiam-ucl"
STEEL_MAKING,Construction,aluminium casting facility,aluminium casting facility construction,"image, remind, message, tiam-ucl"
STEEL_MAKING_HP,Construction,aluminium casting facility,aluminium casting facility construction,"image, remind, message, tiam-ucl"
STEEL_MAKING_HP,Operation,"steel, chromium steel 18/8","market for steel, chromium steel 18/8","image, remind, message, tiam-ucl"
STEEL_MAKING_HR,Operation,"steel, chromium steel 18/8","market for steel, chromium steel 18/8","image, remind, message, tiam-ucl"
STEEL_MAKING_HR,Construction,aluminium casting facility,aluminium casting facility construction,"image, remind, message, tiam-ucl"
STYRENE,Resource,styrene,market for styrene,"image, remind, message, tiam-ucl"
STYRENE,Flow,styrene,market for styrene,"image, remind, message, tiam-ucl"
STYRENE_POLYMERIZATION,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
STYRENE_POLYMERIZATION,Operation,"polystyrene, expandable","polystyrene production, expandable","image, remind, message, tiam-ucl"
