Programming name,Short name,Long name,Category,Subcategory,Set,Unit_ref,,
DHN_DEEP_GEO,DHN Deep Geoth.,District Heating Network with Deep Geothermal Heat,Centalized heating,Geothermal,,kW,MCHF/GWkm,
DHN_HP_ELEC,DHN HP Elec,District Heating Network with Heat Pump Electricity,Centalized heating,Electricity,,kW,MCHF/GWkm,
DHN_RENOVATION,DHN Renovation,District Heating Network Renovation,Centalized heating,Renovation,,kW,,
DHN_TH_STORAGE,DHN Thermal Storage,District Heating Network Thermal Storage,Centalized heating,Storage,,kW,,
DIE_STO,Diesel to Storage,Diesel to Storage,Chemical Storage,Fuel,,kW,,
DIESEL,Diesel,Diesel,Resource,Resource,,kWh,,
DIESEL_GEN,Diesel Generator,Diesel Powered Generator,Electricity Production,Thermal,,kW,,
DIRECT_USAGE,Direct Usage CO2,Direct Usage of stored CO2 ,CCUS,Utilisation,,ktCO2_eq/h,,
DOGR,DOGR,Deep Oil Reservoir Gas Recovery,CCUS,Sequestration,,ktCO2_eq/h,,
EHP_H2_GRID,H2 Grid EHP,Hydrogen Grid at Extra High Pressure,Infrastructure Grid,Hydrogen,,,,
EHP_NG_GRID,NG Grid EHP,Natural Gas Grid at Extra High Pressure,Infrastructure Grid,Natural Gas,,,,
EHV_GRID,Grid EHV,Electric Grid at Extra High Voltage,Infrastructure Grid,Electricity,,,,
ELEC_EXPORT,Electricity exports,Electricity exports,Export,Export,,kWh,,
ELEC_STO,Elec. Storage,Electricity Storage,Electricity Storage,Electricity,,kW,,
ELECTRICITY_EHV,Electricity import,Electricity import,Resource,Resource,,kWh,,
ELECTRICITY_HV,Electricity (high voltage),Electricity (high voltage),Flow,Flow,,kWh,,
ELECTRICITY_LV,Electricity (low voltage),Electricity (low voltage),Flow,Flow,,kWh,,
ELECTRICITY_MV,Electricity (medium voltage),Electricity (medium voltage),Flow,Flow,,kWh,MCHF/GWkm,
EOR,EOR,Enhanced Oil Recovery,CCUS,Sequestration,,ktCO2_eq/h,,
ETHANE,Ethane,Ethane,Resource,Resource,,kWh,,
ETHANE_CRACKING,Ethane Cracking,Ethane Cracking Process,Bioprocesses,Chemical,,kW,,
ETHANE_OXIDATION,Ethane Oxidation,Ethane Oxidation Process,Bioprocesses,Chemical,,kW,,
ETHANE_TO_ETHYLENE,Ethane to Ethylene,Conversion of Ethane to Ethylene,Bioprocesses,Chemical,,kW,,
ETHANOL,Ethanol,Ethanol,Resource,Resource,,kWh,,
ETHANOL_TO_JETFUELS,Ethanol to Jetfuels,Conversion of Ethanol to Jet Fuels,Bioprocesses,Chemical,,kW,,
ETHYLBENZENE,Ethylbenzene,Ethylbenzene,Resource,Resource,,kWh,,
ETHYLENE,Ethylene,Ethylene,Resource,Resource,,kWh,,
ETHYLENE_POLYMERIZATION,Ethylene Polym.,Ethylene Polymerization,Bioprocesses,Chemical,,kW,,
FOOD_PROD,Food Prod.,Food Production,Specific sectors,Food,,kt/h,,
FOOD_PROD_HP,Food Prod. HP,Food Production with Heat Pump,Specific sectors,Food,,kt/h,,
FOOD_PROD_HR,Food Prod. HR,Food Production with Heat Recovery,Specific sectors,Food,,kt/h,,
FT,FT,BioDiesel Production via Fischer-Tropsch Synthesis,Bioprocesses,Synfuel,,kW,,
GASIFICATION_H2,Gasif. H2,Hydrogen Production via Gasification,Infrastructure,Hydrogen,,kW,,
GASIFICATION_SNG,Gasif. SNG,Synthetic Natural Gas Production via Gasification,Infrastructure,Natural Gas,,kW,,
GASO_STO,Gasoline to Storage,Gasoline to Storage,Chemical Storage,Fuel,,kW,,
GASOLINE,Gasoline,Gasoline,Resource,Resource,,kWh,,
GEOTHERMAL,Geothermal,Geothermal Energy Utilization,Electricity Production,Geothermal,,kW,,
GRID,Grid,Electricity Grid,Infrastructure Grid,Electricity,,,,
H2_CCGT,Combine Cycle Gas Turbine H2,Combine Cycle Gas Turbine Hydrogen,Electricity Production,Hydrogen,,kW,,
H2_COMP_100,H2 Comp. AP-100,Hydrogen Compression from Athmospheric Pressure to 100 bar,Infrastructure,Hydrogen,,kW,,
H2_COMP_100_350,H2 Comp. 100-350,Hydrogen Compression from 100 bar to 350 bar,Infrastructure,Hydrogen,,kW,MCHF/GWkm,
H2_COMP_200,H2 Comp. AP-200,Hydrogen Compression from Athmospheric Pressure to 200 bar,Infrastructure,Hydrogen,,kW,MCHF/GWkm,
H2_COMP_200_350,H2 Comp. 200-350,Hydrogen Compression from 200 bar to 350 bar,Infrastructure,Hydrogen,,kW,,
H2_COMP_HE,H2 Comp. HE,Hydrogen Compression from High Pressure to Extra High Pressure,Infrastructure,Hydrogen,,kW,,
H2_COMP_LM,H2 Comp. LM,Hydrogen Compression from Low Pressure to Medium Pressure,Infrastructure,Hydrogen,,kW,MCHF/GWkm,
H2_COMP_MH,H2 Comp. MH,Hydrogen Compression from Medium Pressure to High Pressure,Infrastructure,Hydrogen,,kW,,
H2_EHP,Hydrogen import,Hydrogen,Resource,Resource,,kWh,,
H2_EXP_EH,H2 Exp. EH,Hydrogen Expansion from Extra High Pressure to High Pressure,Infrastructure,Hydrogen,,kW,,
H2_EXP_EH_COGEN,H2 Exp. Cogen. EH,Hydrogen Expansion with Cogeneration from Extra High Pressure to High Pressure,Infrastructure,Hydrogen,,kW,,
H2_EXP_HM,H2 Exp. HM,Hydrogen Expansion from High Pressure to Medium Pressure,Infrastructure,Hydrogen,,kW,,STORAGE_TECH
H2_EXP_HM_COGEN,H2 Exp. Cogen. HM,Hydrogen Expansion with Cogeneration from High Pressure to Medium Pressure,Infrastructure,Hydrogen,,kW,,
