Name,Flow,Amount
CAR_BIOETOH_E85_LD,GASOLINE,-0.0661342856868394
CAR_BIOETOH_E85_LD,MOB_PRIVATE_LD,1.0
CAR_BIOETOH_E85_MD,BIO_ETHANOL,-0.376714285557946
CAR_BIOETOH_E85_MD,CO2_E,0.09543428567467965
CAR_BIOETOH_E85_MD,GASOLINE,-0.0661342856868394
CAR_BIOETOH_E85_MD,MOB_PRIVATE_MD,1.0
CAR_BIOETOH_E85_SD,BIO_ETHANOL,-0.376714285557946
CAR_BIOETOH_E85_SD,CO2_E,0.09543428567467965
CAR_BIOETOH_E85_SD,GASOLINE,-0.0661342856868394
CAR_BIOETOH_E85_SD,MOB_PRIVATE_SD,1.0
CAR_BIOMEOH_ELD,BIO_METHANOL,-0.04035714286547368
CAR_BIOMEOH_ELD,CO2_E,0.09292285710429335
CAR_BIOMEOH_ELD,GASOLINE,-0.3264857141502199
CAR_BIOMEOH_ELD,MOB_PRIVATE_ELD,1.0
CAR_BIOMEOH_LD,BIO_METHANOL,-0.04035714286547368
CAR_BIOMEOH_LD,CO2_E,0.09292285710429335
CAR_BIOMEOH_LD,GASOLINE,-0.3264857141502199
CAR_BIOMEOH_LD,MOB_PRIVATE_LD,1.0
CAR_BIOMEOH_MD,BIO_METHANOL,-0.04035714286547368
CAR_BIOMEOH_MD,CO2_E,0.09292285710429335
CAR_BIOMEOH_MD,GASOLINE,-0.3264857141502199
CAR_BIOMEOH_MD,MOB_PRIVATE_MD,1.0
CAR_BIOMEOH_SD,BIO_METHANOL,-0.04035714286547368
CAR_BIOMEOH_SD,CO2_E,0.09292285710429335
CAR_BIOMEOH_SD,GASOLINE,-0.3264857141502199
CAR_BIOMEOH_SD,MOB_PRIVATE_SD,1.0
CAR_CNG_ELD,CO2_E,0.08152142853963956
CAR_CNG_ELD,MOB_PRIVATE_ELD,1.0
CAR_CNG_ELD,NG_HP,-0.4834785712400405
CAR_CNG_LD,CO2_E,0.08152142853963956
CAR_CNG_LD,MOB_PRIVATE_LD,1.0
CAR_CNG_LD,NG_HP,-0.4834785712400405
CAR_CNG_MD,CO2_E,0.08152142853963956
CAR_CNG_MD,MOB_PRIVATE_MD,1.0
CAR_CNG_MD,NG_HP,-0.4834785712400405
CAR_CNG_SD,CO2_E,0.08152142853963956
CAR_CNG_SD,MOB_PRIVATE_SD,1.0
CAR_CNG_SD,NG_HP,-0.4834785712400405
CAR_CSNG_ELD,CO2_E,0.08152142853963956
CAR_CSNG_ELD,MOB_PRIVATE_ELD,1.0
CAR_CSNG_ELD,SNG_HP,-0.4834785712400405
CAR_CSNG_LD,CO2_E,0.08152142853963956
CAR_CSNG_LD,MOB_PRIVATE_LD,1.0
CAR_CSNG_LD,SNG_HP,-0.4834785712400405
CAR_CSNG_MD,CO2_E,0.08152142853963956
CAR_CSNG_MD,MOB_PRIVATE_MD,1.0
CAR_CSNG_MD,SNG_HP,-0.4834785712400405
CAR_CSNG_SD,CO2_E,0.08152142853963956
CAR_CSNG_SD,MOB_PRIVATE_SD,1.0
CAR_CSNG_SD,SNG_HP,-0.4834785712400405
CAR_DIESEL_ELD,CO2_E,0.09375999996108879
CAR_DIESEL_ELD,DIESEL,-0.35411142842446924
CAR_DIESEL_ELD,MOB_PRIVATE_ELD,1.0
CAR_DIESEL_LD,CO2_E,0.09375999996108879
CAR_DIESEL_LD,DIESEL,-0.35411142842446924
CAR_DIESEL_LD,MOB_PRIVATE_LD,1.0
